k W
1.566750999999999908e-02 1.867639420227019694e-10
1.584893000000000066e-02 1.955530381530146051e-10
1.603245000000000017e-02 2.047553957597423706e-10
1.621809999999999918e-02 2.143904607465951292e-10
1.640590000000000104e-02 2.244785739912746152e-10
1.659586999999999868e-02 2.350410071572000046e-10
1.678804000000000060e-02 2.461000241187500710e-10
1.698244000000000142e-02 2.576789043365844147e-10
1.717907999999999935e-02 2.698021410117275630e-10
1.737800999999999929e-02 2.824951776626684069e-10
1.757923999999999945e-02 2.957848885300147007e-10
1.778278999999999971e-02 3.096991621030323198e-10
1.798871000000000150e-02 3.242674255439103517e-10
1.819700999999999957e-02 3.395202735823269603e-10
1.840771999999999894e-02 3.554898559208182386e-10
1.862087000000000117e-02 3.722098425108308148e-10
1.883649000000000087e-02 3.897153667777260167e-10
1.905460999999999960e-02 4.080433435597817015e-10
1.927525000000000072e-02 4.272323409512227701e-10
1.949845000000000050e-02 4.473227081510173293e-10
1.972422999999999885e-02 4.683567276942805049e-10
1.995262000000000077e-02 4.903786393877194185e-10
2.018365999999999910e-02 5.134347700412964801e-10
2.041737999999999886e-02 5.375735711456173513e-10
2.065379999999999994e-02 5.628458617878705943e-10
2.089295999999999862e-02 5.893047086753473980e-10
2.113488999999999993e-02 6.170057381435443537e-10
2.137961999999999849e-02 6.460070494626829294e-10
2.162719000000000100e-02 6.763697172306849283e-10
2.187762000000000040e-02 7.081573720701029579e-10
2.213094999999999993e-02 7.414368305685690238e-10
2.238721000000000114e-02 7.762779671300789620e-10
2.264644000000000032e-02 8.127537821914632411e-10
2.290868000000000071e-02 8.509408670641817454e-10
2.317394999999999872e-02 8.909193448618722514e-10
2.344229000000000104e-02 9.327730311284355833e-10
2.371374000000000051e-02 9.765896264951476926e-10
2.398832999999999868e-02 1.022460998055948659e-09
2.426609999999999878e-02 1.070483235558423269e-09
2.454709000000000058e-02 1.120756898243538227e-09
2.483132999999999868e-02 1.173387371240201702e-09
2.511885999999999980e-02 1.228484705223461035e-09
2.540972999999999843e-02 1.286164111130650163e-09
2.570396000000000139e-02 1.346546501922794764e-09
2.600159999999999971e-02 1.409757987766930025e-09
2.630267999999999842e-02 1.475930710854150370e-09
2.660724999999999896e-02 1.545203053676027596e-09
2.691535000000000108e-02 1.617719710796684556e-09
2.722700999999999941e-02 1.693632012646077297e-09
2.754229000000000052e-02 1.773098701022728599e-09
2.786121000000000084e-02 1.856285428241731364e-09
2.818382999999999999e-02 1.943365473357726660e-09
2.851017999999999955e-02 2.034521060474244036e-09
2.884031999999999915e-02 2.129941663799499192e-09
2.917426999999999868e-02 2.229826109068634110e-09
2.951209000000000124e-02 2.334382895038214638e-09
2.985383000000000134e-02 2.443828896845013500e-09
3.019952000000000053e-02 2.558392749164425924e-09
3.054921000000000025e-02 2.678312153786195802e-09
3.090294999999999848e-02 2.803836413331926150e-09
3.126078999999999664e-02 2.935226773873872811e-09
3.162278000000000311e-02 3.072755911481647386e-09
3.198895000000000211e-02 3.216709623878822062e-09
3.235936999999999841e-02 3.367385790663893043e-09
3.273406999999999706e-02 3.525097588583682717e-09
3.311311000000000115e-02 3.690171549843092900e-09
3.349653999999999826e-02 3.862950187541181230e-09
3.388441999999999843e-02 4.043790476022293802e-09
3.427677999999999975e-02 4.233067041716421889e-09
3.467369000000000007e-02 4.431171389406909330e-09
3.507518999999999915e-02 4.638512951423421136e-09
3.548134000000000010e-02 4.855519706840430984e-09
3.589218999999999743e-02 5.082639826667969673e-09
3.630781000000000286e-02 5.320342095303876977e-09
